Artysta,Rok
QUEEN,1981
ABBA,1975
BEATLES,1967
ADELE,2011
OASIS,1995
MICHAEL JACKSON,1982
PINK FLOYD,1973
DIRE STRAITS,1985
FLEETWOOD MAC,1977
MADONNA,1990
AMY WINEHOUSE,2006
SIMPLY RED,1991
SHANIA TWAIN,1997
BOB MARLEY & THE WAILERS,1984
JAMES BLUNT,2004
VERVE,1997
MEAT LOAF,1977
SIMON & GARFUNKEL,1970
ORIGINAL SOUNDTRACK,1977
LEONA LEWIS,2007
MICHAEL BUBLE,2009
DIDO,2000
DAVID GRAY,1998
CORRS,1997
SPICE GIRLS,1996
LADY GAGA,2008
COLDPLAY,2000
KINGS OF LEON,2008
TAKE THAT,2005
KEANE,2004
U2,1987
JEFF WAYNE,1978
SCISSOR SISTERS,2004
PHIL COLLINS,1989
ALANIS MORISSETTE,1995
MIKE OLDFIELD,1973
TRAVIS,1999
TRACY CHAPMAN,1988
ROBBIE WILLIAMS,1998
ED SHEERAN,2014
NORAH JONES,2002
PAUL SIMON,1986
ORIGINAL CAST RECORDING,1965
GEORGE MICHAEL,1998
EMINEM,2000
SNOW PATROL,2006
REM,1992
